iter	Logloss
0	0.4209896473
1	0.3863453383
2	0.3693503905
3	0.360427685
4	0.3468432266
5	0.3397293734
6	0.3326244569
7	0.3192898182
8	0.3083671398
9	0.302514837
10	0.2910359415
11	0.2890860311
12	0.2764253081
13	0.2727915303
14	0.2670173645
15	0.2592462261
16	0.247712939
17	0.235971558
18	0.2303940205
19	0.2265724868
20	0.2253977315
21	0.2201303203
22	0.2149874869
23	0.2112912596
24	0.2104382461
25	0.2077774091
26	0.2065523983
27	0.2057090288
28	0.2042695806
29	0.2036970331
30	0.2009150687
31	0.1996360522
32	0.1983737731
33	0.1951749995
34	0.1944863823
35	0.1922605064
36	0.1914170083
37	0.1890095057
38	0.1881911889
39	0.1872009963
40	0.1850346769
41	0.1840298042
42	0.1833288214
43	0.1824965316
44	0.1816316883
45	0.1812591124
46	0.1812240515
47	0.1806143429
48	0.1799974977
49	0.1796229287
50	0.179565494
51	0.1792450594
52	0.1784071333
53	0.1774280848
54	0.1759481966
55	0.174984139
56	0.174354789
57	0.1735979895
58	0.1730699432
59	0.1730029824
60	0.1728740221
61	0.1725201339
62	0.1718121646
63	0.1713578406
64	0.1710709454
65	0.1706088205
66	0.1703472137
67	0.1702749274
68	0.1702201929
69	0.1699807778
70	0.1698697337
71	0.1697087234
72	0.1694647757
73	0.1693591964
74	0.1692728085
75	0.1687646287
76	0.1686629392
77	0.1681771439
78	0.1680725933
79	0.1679100722
80	0.1675851372
81	0.1673790364
82	0.1671560909
83	0.1669601483
84	0.1667183222
85	0.1665634198
86	0.1664865472
87	0.1664280088
88	0.1662860185
89	0.1658930511
90	0.1657839464
91	0.1655924829
92	0.1654602115
93	0.1653177926
94	0.1652518712
95	0.1652461598
96	0.1651010942
97	0.1650022764
98	0.1648825528
99	0.1647327616
100	0.1645159132
101	0.1644667936
102	0.1643492238
103	0.1642503631
104	0.1641762766
105	0.1641089514
106	0.1641000898
107	0.1640758086
108	0.1639998682
109	0.163852038
110	0.1638002717
111	0.1636473624
112	0.163524992
113	0.1634314462
114	0.1633646247
115	0.1632345392
116	0.1631097472
117	0.1630565343
118	0.1628240521
119	0.1627448436
120	0.1627280739
121	0.1626995172
122	0.1626875052
123	0.1626013102
124	0.1624684709
125	0.1624264342
126	0.162338814
127	0.1623180689
128	0.1622933806
129	0.1622365887
130	0.1621212906
131	0.1619080426
132	0.1618306985
133	0.1616839505
134	0.1616334915
135	0.16144086
136	0.1613826859
137	0.1612414992
138	0.1611679591
139	0.1610324088
140	0.16097761
141	0.1609282333
142	0.1609067595
143	0.1608751061
144	0.160848639
145	0.1607911185
146	0.1607067022
147	0.1606985907
148	0.1606375234
149	0.1606295511
150	0.1606016373
151	0.1605442561
152	0.1604933578
153	0.1604829317
154	0.1603370409
155	0.1602533319
156	0.1601711016
157	0.160131208
158	0.1600430199
159	0.1600220177
160	0.1600074661
161	0.159925718
162	0.1598798345
163	0.1598268788
164	0.159800283
165	0.159800283
166	0.1597366976
167	0.1597086124
168	0.1596558924
169	0.1596293717
170	0.1596139844
171	0.1595804236
172	0.1595792127
173	0.1595344115
174	0.1595081587
175	0.1594979361
176	0.1594680079
177	0.1594413264
178	0.1594082907
179	0.15938192
180	0.1593316968
181	0.1593001934
182	0.1592700937
183	0.1591665611
184	0.159117688
185	0.1591174951
186	0.1590513165
187	0.1589645
188	0.1589264387
189	0.1589049543
190	0.1588250921
191	0.1587638748
192	0.1587051649
193	0.1586732436
194	0.1586360717
195	0.1585829767
196	0.1585713826
197	0.1585475622
198	0.158547005
199	0.1585173446
