iter	Passed	Remaining
0	6	1362
1	11	1137
2	16	1068
3	20	987
4	23	933
5	28	909
6	32	890
7	37	890
8	40	869
9	46	880
10	50	875
11	55	870
12	59	859
13	64	862
14	68	847
15	72	836
16	76	823
17	80	813
18	85	813
19	89	803
20	93	795
21	97	791
22	101	784
23	106	778
24	109	767
25	113	758
26	117	751
27	120	742
28	125	737
29	129	731
30	132	723
31	136	716
32	140	709
33	143	700
34	147	695
35	150	687
36	154	682
37	158	675
38	162	669
39	165	661
40	169	655
41	172	649
42	176	642
43	179	637
44	183	632
45	186	626
46	190	620
47	194	615
48	197	609
49	201	605
50	205	600
51	209	596
52	215	598
53	220	597
54	225	594
55	229	590
56	234	587
57	238	583
58	242	580
59	246	575
60	250	570
61	254	565
62	257	561
63	262	556
64	265	552
65	270	548
66	274	545
67	278	540
68	282	536
69	286	532
70	289	526
71	293	522
72	297	517
73	301	514
74	304	508
75	307	501
76	312	498
77	317	495
78	321	492
79	325	488
80	330	485
81	334	481
82	338	476
83	342	472
84	346	468
85	350	465
86	354	460
87	358	456
88	362	452
89	366	447
90	370	444
91	374	440
92	378	435
93	382	431
94	387	427
95	390	423
96	395	419
97	398	415
98	403	411
99	406	406
100	410	402
101	413	397
102	416	392
103	420	387
104	423	383
105	427	378
106	431	374
107	434	370
108	438	366
109	442	361
110	445	357
111	449	353
112	453	348
113	456	344
114	460	340
115	463	335
116	467	331
117	470	327
118	474	323
119	478	319
120	481	314
121	485	310
122	489	306
123	492	301
124	495	297
125	499	293
126	502	289
127	506	285
128	510	280
129	514	277
130	518	273
131	522	269
132	526	265
133	531	261
134	535	257
135	539	253
136	543	249
137	547	245
138	551	241
139	555	238
140	559	234
141	563	230
142	567	226
143	571	222
144	575	218
145	579	214
146	583	210
147	586	206
148	590	202
149	594	198
150	597	194
151	602	190
152	606	186
153	610	182
154	613	178
155	618	174
156	622	170
157	626	166
158	631	162
159	635	158
160	640	155
161	644	151
162	648	147
163	652	143
164	656	139
165	659	135
166	663	131
167	667	127
168	671	123
169	675	119
170	679	115
171	684	111
172	687	107
173	691	103
174	694	99
175	700	95
176	704	91
177	709	87
178	713	83
179	717	79
180	720	75
181	724	71
182	729	67
183	732	63
184	736	59
185	740	55
186	743	51
187	747	47
188	750	43
189	754	39
190	758	35
191	762	31
192	766	27
193	770	23
194	773	19
195	777	15
196	781	11
197	784	7
198	788	3
199	791	0
