,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7
358,0.6322314,0.6528926,0.58264464,0.6363636,0.6363636,0.7066116,0.74793386,0.78099173
346,0.7107438,0.7107438,0.70247936,0.7107438,0.71900827,0.7355372,0.75206614,0.77272725
112,0.2892562,0.1570248,0.14876033,0.19008264,0.1694215,0.19421488,0.40495867,0.607438
332,0.6570248,0.6652893,0.69008267,0.7107438,0.7231405,0.72727275,0.72727275,0.73966944
392,0.3264463,0.1446281,0.2603306,0.75206614,0.8471074,0.8512397,0.8471074,0.8471074
61,0.5165289,0.5123967,0.5082645,0.5165289,0.5371901,0.5661157,0.56198347,0.57438016
205,0.6735537,0.71487606,0.76033056,0.7644628,0.7644628,0.7892562,0.7933884,0.7933884
204,0.5123967,0.57024795,0.59917355,0.607438,0.6363636,0.6694215,0.6942149,0.71900827
168,0.5165289,0.59917355,0.6446281,0.661157,0.6859504,0.6818182,0.72727275,0.74380165
101,0.61570245,0.6528926,0.6404959,0.6859504,0.73966944,0.7644628,0.7933884,0.8057851
396,0.5661157,0.6198347,0.6570248,0.69008267,0.70247936,0.71487606,0.70247936,0.70247936
280,0.6528926,0.6446281,0.6528926,0.7066116,0.71487606,0.71900827,0.74380165,0.74793386
354,0.23553719,0.35123968,0.4338843,0.46694216,0.46694216,0.5,0.53305787,0.5371901
122,0.16528925,0.28512397,0.40495867,0.5041322,0.59504133,0.6652893,0.6983471,0.71487606
373,0.6694215,0.6818182,0.7066116,0.71487606,0.71900827,0.72727275,0.72727275,0.7355372
217,0.22727273,0.32231405,0.3966942,0.4090909,0.44214877,0.49173555,0.5123967,0.5247934
19,0.21487603,0.29752067,0.38016528,0.5206612,0.553719,0.55785125,0.59504133,0.6363636
150,0.13636364,0.11983471,0.1322314,0.11157025,0.11983471,0.12396694,0.12396694,0.12809917
62,0.4876033,0.3305785,0.2520661,0.38842976,0.78512394,0.7892562,0.78099173,0.78512394
370,0.4214876,0.46280992,0.4876033,0.5,0.5247934,0.5165289,0.5247934,0.5661157
164,0.15289256,0.1446281,0.19421488,0.23553719,0.21900827,0.20661157,0.446281,0.5123967
384,0.20661157,0.2107438,0.3429752,0.42975205,0.38429752,0.42975205,0.4752066,0.5
284,0.2520661,0.3305785,0.3966942,0.44214877,0.5123967,0.54545456,0.54545456,0.607438
393,0.20247933,0.25619835,0.32231405,0.45041323,0.57438016,0.6652893,0.71487606,0.76859504
272,0.4338843,0.46280992,0.5,0.5413223,0.5371901,0.53305787,0.5247934,0.53305787
246,0.446281,0.46694216,0.47107437,0.47933885,0.5206612,0.5495868,0.57438016,0.60330576
311,0.1694215,0.57024795,0.8719008,0.8553719,0.8636364,0.8636364,0.8636364,0.8553719
243,0.21900827,0.28099173,0.5371901,0.7933884,0.7933884,0.78099173,0.7892562,0.78512394
364,0.20247933,0.2107438,0.2768595,0.38842976,0.5289256,0.607438,0.61157024,0.5495868
247,0.40082645,0.35950413,0.56198347,0.58677685,0.57438016,0.59504133,0.6570248,0.71900827
218,0.4876033,0.55785125,0.57438016,0.5661157,0.56198347,0.59504133,0.62396693,0.6280992
145,0.54545456,0.5661157,0.59090906,0.6280992,0.6528926,0.6363636,0.607438,0.59090906
121,0.29338843,0.26859504,0.26859504,0.2892562,0.22727273,0.40495867,0.5041322,0.553719
115,0.5,0.5371901,0.5289256,0.5247934,0.553719,0.607438,0.6404959,0.6528926
380,0.1322314,0.07438017,0.09917355,0.2892562,0.41322315,0.49586776,0.5123967,0.58677685
154,0.38016528,0.44214877,0.48347107,0.54545456,0.58264464,0.6280992,0.6487603,0.677686
31,0.34710744,0.34710744,0.16115703,0.041322313,0.24380165,0.45867768,0.5123967,0.5661157
317,0.37603307,0.40082645,0.41322315,0.45867768,0.49173555,0.56198347,0.6280992,0.6652893
197,0.11983471,0.11157025,0.11570248,0.12396694,0.12809917,0.12809917,0.1446281,0.1570248
301,0.28099173,0.19008264,0.19008264,0.1983471,0.24793388,0.32231405,0.44214877,0.53305787
117,0.37190083,0.34710744,0.3677686,0.38016528,0.41735536,0.43801653,0.46280992,0.553719
